timestamp,device,from,to
20:10:34.421,hub-ss,ABSENT,OK
20:11:04.752,hololens-sensors,ABSENT,OK
20:11:05.363,hub-usb2,ABSENT,OK
20:11:05.708,companion,ABSENT,OK
20:11:06.044,audio,ABSENT,OK
20:20:38.548,companion,OK,ABSENT
20:20:39.077,audio,OK,ABSENT
20:20:41.449,companion,ABSENT,OK
20:20:41.828,audio,ABSENT,OK
20:25:48.945,companion,OK,ABSENT
20:25:49.412,audio,OK,ABSENT
20:25:51.372,companion,ABSENT,OK
20:25:51.779,audio,ABSENT,OK
20:26:46.027,audio,OK,ABSENT
20:26:48.464,audio,ABSENT,OK
20:27:06.668,audio,OK,ABSENT
20:27:09.331,audio,ABSENT,OK
20:27:56.084,companion,OK,ABSENT
20:27:56.592,audio,OK,ABSENT
20:27:58.574,companion,ABSENT,OK
20:27:59.004,audio,ABSENT,OK
20:28:07.713,companion,OK,ABSENT
20:28:08.151,audio,OK,ABSENT
20:28:10.203,companion,ABSENT,OK
20:28:10.646,audio,ABSENT,OK
20:30:49.815,companion,OK,ABSENT
20:30:50.185,audio,OK,ABSENT
20:30:52.020,companion,ABSENT,OK
20:30:52.397,audio,ABSENT,OK
20:30:56.494,audio,OK,ABSENT
20:30:58.626,audio,ABSENT,OK
20:31:04.301,companion,OK,ABSENT
20:31:04.724,audio,OK,ABSENT
20:31:06.497,companion,ABSENT,OK
20:31:06.861,audio,ABSENT,OK
20:31:59.195,companion,OK,ABSENT
20:31:59.553,audio,OK,ABSENT
20:32:01.326,companion,ABSENT,OK
20:32:01.727,audio,ABSENT,OK
20:32:11.439,companion,OK,ABSENT
20:32:11.820,audio,OK,ABSENT
20:32:13.554,companion,ABSENT,OK
20:32:13.910,audio,ABSENT,OK
20:32:17.206,hub-usb2,OK,ABSENT
20:32:17.561,companion,OK,ABSENT
20:32:17.899,audio,OK,ABSENT
20:32:19.275,hub-usb2,ABSENT,OK
20:32:19.622,companion,ABSENT,OK
20:32:21.257,hub-usb2,OK,ABSENT
20:32:21.609,companion,OK,ABSENT
20:32:23.394,hub-usb2,ABSENT,OK
20:32:23.748,companion,ABSENT,OK
20:32:24.116,audio,ABSENT,OK
20:32:29.680,companion,OK,ABSENT
20:32:30.042,audio,OK,ABSENT
20:32:31.827,companion,ABSENT,OK
20:32:32.236,audio,ABSENT,OK
20:32:40.157,audio,OK,ABSENT
20:32:42.239,audio,ABSENT,OK
20:32:45.993,companion,OK,ABSENT
20:32:46.347,audio,OK,ABSENT
20:32:48.137,companion,ABSENT,OK
20:32:48.497,audio,ABSENT,OK
20:32:52.444,audio,OK,ABSENT
20:32:54.440,audio,ABSENT,OK
20:33:04.768,audio,OK,ABSENT
20:33:06.931,audio,ABSENT,OK
20:33:15.433,companion,OK,ABSENT
20:33:15.852,audio,OK,ABSENT
20:33:19.975,companion,ABSENT,OK
20:33:20.387,audio,ABSENT,OK
20:33:32.816,companion,OK,ABSENT
20:33:33.297,audio,OK,ABSENT
20:33:35.261,companion,ABSENT,OK
20:33:35.704,audio,ABSENT,OK
20:33:39.710,companion,OK,ABSENT
20:33:40.117,audio,OK,ABSENT
20:33:41.998,companion,ABSENT,OK
20:33:42.419,audio,ABSENT,OK
20:33:50.799,audio,OK,ABSENT
20:33:53.061,audio,ABSENT,OK
20:34:30.504,hub-usb2,OK,ABSENT
20:34:30.863,companion,OK,ABSENT
20:34:31.209,audio,OK,ABSENT
20:34:32.766,hub-usb2,ABSENT,OK
20:34:33.226,companion,ABSENT,OK
20:34:33.743,audio,ABSENT,OK
20:34:49.614,companion,OK,ABSENT
20:34:50.112,audio,OK,ABSENT
20:34:52.233,companion,ABSENT,OK
20:34:52.675,audio,ABSENT,OK
20:35:00.999,hub-usb2,OK,ABSENT
20:35:01.468,companion,OK,ABSENT
20:35:01.955,audio,OK,ABSENT
20:35:04.030,hub-usb2,ABSENT,OK
20:35:04.617,companion,ABSENT,OK
20:35:07.687,companion,OK,ABSENT
20:35:11.261,audio,ABSENT,OK
20:35:13.942,companion,ABSENT,OK
20:35:17.185,audio,OK,ABSENT
20:35:19.981,audio,ABSENT,OK
20:35:22.184,companion,OK,ABSENT
20:35:22.920,audio,OK,ABSENT
20:35:25.051,companion,ABSENT,OK
20:35:25.565,audio,ABSENT,OK
20:35:42.045,audio,OK,ABSENT
20:35:48.651,companion,OK,ABSENT
20:35:51.214,companion,ABSENT,OK
20:35:51.627,audio,ABSENT,OK
20:36:00.705,audio,OK,ABSENT
20:36:03.250,audio,ABSENT,OK
20:36:19.331,companion,OK,ABSENT
20:36:19.785,audio,OK,ABSENT
20:36:21.878,companion,ABSENT,OK
20:36:22.357,audio,ABSENT,OK
20:36:26.617,companion,OK,ABSENT
20:36:27.070,audio,OK,ABSENT
20:36:29.159,companion,ABSENT,OK
20:36:29.617,audio,ABSENT,OK
20:36:43.420,audio,OK,ABSENT
20:36:45.949,audio,ABSENT,OK
20:36:52.647,companion,OK,ABSENT
20:36:53.144,audio,OK,ABSENT
20:36:55.131,companion,ABSENT,OK
20:36:55.547,audio,ABSENT,OK
20:37:04.409,companion,OK,ABSENT
20:37:04.907,audio,OK,ABSENT
20:37:07.039,companion,ABSENT,OK
20:37:10.183,audio,ABSENT,OK
20:37:14.688,companion,OK,ABSENT
20:37:15.162,audio,OK,ABSENT
20:37:17.343,companion,ABSENT,OK
20:37:17.799,audio,ABSENT,OK
20:37:36.886,hub-usb2,OK,ABSENT
20:37:37.315,companion,OK,ABSENT
20:37:37.776,audio,OK,ABSENT
20:37:39.418,hub-usb2,ABSENT,OK
20:37:39.853,companion,ABSENT,OK
20:37:42.811,audio,ABSENT,OK
20:37:49.591,companion,OK,ABSENT
20:37:50.022,audio,OK,ABSENT
20:37:52.133,companion,ABSENT,OK
20:37:52.575,audio,ABSENT,OK
20:38:13.529,hub-usb2,OK,ABSENT
20:38:13.969,companion,OK,ABSENT
20:38:14.415,audio,OK,ABSENT
20:38:16.044,hub-usb2,ABSENT,OK
20:38:16.551,companion,ABSENT,OK
20:38:16.999,audio,ABSENT,OK
20:38:40.762,audio,OK,ABSENT
20:38:43.414,audio,ABSENT,OK
20:38:48.425,audio,OK,ABSENT
20:38:50.741,audio,ABSENT,OK
20:38:59.427,companion,OK,ABSENT
20:38:59.906,audio,OK,ABSENT
20:39:02.111,companion,ABSENT,OK
20:39:02.614,audio,ABSENT,OK
20:39:56.134,companion,OK,ABSENT
20:39:56.548,audio,OK,ABSENT
20:39:58.634,companion,ABSENT,OK
20:39:59.099,audio,ABSENT,OK
20:40:03.334,companion,OK,ABSENT
20:40:03.855,audio,OK,ABSENT
20:40:06.062,companion,ABSENT,OK
20:40:06.464,audio,ABSENT,OK
20:40:08.827,audio,OK,ABSENT
20:40:11.427,audio,ABSENT,OK
20:40:27.506,companion,OK,ABSENT
20:40:27.986,audio,OK,ABSENT
20:40:30.018,companion,ABSENT,OK
20:40:32.993,audio,ABSENT,OK
20:40:39.613,companion,OK,ABSENT
20:40:40.101,audio,OK,ABSENT
20:40:42.209,companion,ABSENT,OK
20:40:42.666,audio,ABSENT,OK
20:40:52.018,companion,OK,ABSENT
20:40:52.511,audio,OK,ABSENT
20:40:54.453,companion,ABSENT,OK
20:40:54.870,audio,ABSENT,OK
20:41:06.644,companion,OK,ABSENT
20:41:07.154,audio,OK,ABSENT
20:41:09.404,companion,ABSENT,OK
20:41:09.870,audio,ABSENT,OK
20:41:11.869,companion,OK,ABSENT
20:41:12.291,audio,OK,ABSENT
20:41:14.271,companion,ABSENT,OK
20:41:16.463,companion,OK,ABSENT
20:41:16.933,audio,ABSENT,OK
20:41:19.032,companion,ABSENT,OK
20:41:23.821,companion,OK,ABSENT
20:41:24.288,audio,OK,ABSENT
20:41:26.452,companion,ABSENT,OK
20:41:26.890,audio,ABSENT,OK
20:41:31.202,companion,OK,ABSENT
20:41:31.695,audio,OK,ABSENT
20:41:33.845,companion,ABSENT,OK
20:41:34.278,audio,ABSENT,OK
20:41:43.120,companion,OK,ABSENT
20:41:43.612,audio,OK,ABSENT
20:41:45.808,companion,ABSENT,OK
20:41:46.276,audio,ABSENT,OK
20:41:55.099,companion,OK,ABSENT
20:41:55.527,audio,OK,ABSENT
20:41:57.708,companion,ABSENT,OK
20:41:58.195,audio,ABSENT,OK
20:42:12.596,audio,OK,ABSENT
20:42:14.524,companion,OK,ABSENT
20:42:16.921,companion,ABSENT,OK
20:42:17.411,audio,ABSENT,OK
20:42:21.771,companion,OK,ABSENT
20:42:22.196,audio,OK,ABSENT
20:42:24.322,companion,ABSENT,OK
20:42:24.795,audio,ABSENT,OK
20:42:31.350,companion,OK,ABSENT
20:42:31.791,audio,OK,ABSENT
20:42:36.201,companion,ABSENT,OK
20:42:36.683,audio,ABSENT,OK
20:43:11.547,companion,OK,ABSENT
20:43:12.049,audio,OK,ABSENT
20:43:14.018,companion,ABSENT,OK
20:43:16.963,audio,ABSENT,OK
20:43:18.906,companion,OK,ABSENT
20:43:19.333,audio,OK,ABSENT
20:43:21.468,companion,ABSENT,OK
20:43:21.944,audio,ABSENT,OK
20:43:26.500,audio,OK,ABSENT
20:43:28.939,audio,ABSENT,OK
20:43:31.369,audio,OK,ABSENT
20:43:35.866,companion,OK,ABSENT
20:43:45.320,companion,ABSENT,OK
20:43:45.801,audio,ABSENT,OK
20:44:35.213,companion,OK,ABSENT
20:44:35.648,audio,OK,ABSENT
20:44:37.507,companion,ABSENT,OK
20:44:37.878,audio,ABSENT,OK
20:44:41.650,companion,OK,ABSENT
20:44:42.077,audio,OK,ABSENT
20:44:43.920,companion,ABSENT,OK
20:44:44.304,audio,ABSENT,OK
20:45:18.186,companion,OK,ABSENT
20:45:18.642,audio,OK,ABSENT
20:45:20.526,companion,ABSENT,OK
20:45:22.738,companion,OK,ABSENT
20:45:29.444,companion,ABSENT,OK
20:45:29.859,audio,ABSENT,OK
20:45:34.393,audio,OK,ABSENT
20:45:35.819,hub-usb2,OK,ABSENT
20:45:36.198,companion,OK,ABSENT
20:45:38.144,hub-usb2,ABSENT,OK
20:45:38.550,companion,ABSENT,OK
20:45:39.040,audio,ABSENT,OK
20:45:43.048,companion,OK,ABSENT
20:45:43.472,audio,OK,ABSENT
20:45:45.437,companion,ABSENT,OK
20:45:45.845,audio,ABSENT,OK
20:45:50.131,audio,OK,PROBLEM:Error
20:45:54.516,audio,PROBLEM:Error,ABSENT
20:45:58.343,companion,OK,ABSENT
20:46:00.101,hub-usb2,OK,ABSENT
20:46:02.373,hub-usb2,ABSENT,OK
20:46:05.070,companion,ABSENT,OK
20:46:07.948,audio,ABSENT,OK
20:46:14.091,companion,OK,ABSENT
20:46:14.537,audio,OK,ABSENT
20:46:16.475,companion,ABSENT,OK
20:46:16.896,audio,ABSENT,OK
20:46:24.690,hub-usb2,OK,ABSENT
20:46:25.095,companion,OK,ABSENT
20:46:25.494,audio,OK,ABSENT
20:46:27.024,hub-usb2,ABSENT,OK
20:46:27.457,companion,ABSENT,OK
20:46:27.904,audio,ABSENT,OK
20:46:43.349,audio,OK,ABSENT
20:46:45.759,audio,ABSENT,OK
20:46:48.028,audio,OK,ABSENT
20:46:50.371,audio,ABSENT,OK
20:46:54.514,companion,OK,ABSENT
20:46:54.959,audio,OK,ABSENT
20:46:56.825,companion,ABSENT,OK
20:46:59.501,audio,ABSENT,OK
20:47:04.249,audio,OK,ABSENT
20:47:09.137,audio,ABSENT,OK
20:47:25.203,companion,OK,ABSENT
20:47:25.666,audio,OK,ABSENT
20:47:27.584,companion,ABSENT,OK
20:47:29.893,companion,OK,ABSENT
20:47:36.767,companion,ABSENT,OK
20:47:37.214,audio,ABSENT,OK
20:47:43.727,companion,OK,ABSENT
20:47:44.197,audio,OK,ABSENT
20:47:50.691,companion,ABSENT,OK
20:47:51.196,audio,ABSENT,OK
20:47:55.147,hub-usb2,OK,ABSENT
20:47:55.582,companion,OK,ABSENT
20:47:56.019,audio,OK,ABSENT
20:47:57.524,hub-usb2,ABSENT,OK
20:48:00.386,companion,ABSENT,OK
20:48:00.816,audio,ABSENT,OK
20:48:10.075,companion,OK,ABSENT
20:48:10.513,audio,OK,ABSENT
20:48:12.651,companion,ABSENT,OK
20:48:13.091,audio,ABSENT,OK
20:48:22.243,companion,OK,ABSENT
20:48:22.645,audio,OK,ABSENT
20:48:24.735,companion,ABSENT,OK
20:48:25.210,audio,ABSENT,OK
20:48:34.402,companion,OK,ABSENT
20:48:34.812,audio,OK,ABSENT
20:48:36.803,companion,ABSENT,OK
20:48:42.070,audio,ABSENT,OK
20:48:57.902,companion,OK,ABSENT
20:48:58.377,audio,OK,ABSENT
20:49:00.456,companion,ABSENT,OK
20:49:00.895,audio,ABSENT,OK
20:49:05.704,audio,OK,ABSENT
20:49:08.395,audio,ABSENT,OK
20:49:12.720,companion,OK,ABSENT
20:49:13.131,audio,OK,ABSENT
20:49:15.316,companion,ABSENT,OK
20:49:15.789,audio,ABSENT,OK
20:49:20.028,companion,OK,ABSENT
20:49:20.496,audio,OK,ABSENT
20:49:22.437,companion,ABSENT,OK
20:49:24.790,companion,OK,ABSENT
20:49:33.981,companion,ABSENT,OK
20:49:34.482,audio,ABSENT,OK
20:49:38.654,companion,OK,ABSENT
20:49:39.094,audio,OK,ABSENT
20:49:43.302,companion,ABSENT,OK
20:49:43.717,audio,ABSENT,PROBLEM:Error
20:49:48.439,audio,PROBLEM:Error,OK
20:49:52.793,companion,OK,ABSENT
20:49:53.259,audio,OK,ABSENT
20:49:55.167,companion,ABSENT,OK
20:49:57.992,audio,ABSENT,OK
20:50:18.727,companion,OK,ABSENT
20:50:19.169,audio,OK,ABSENT
20:50:21.185,companion,ABSENT,OK
20:50:21.581,audio,ABSENT,PROBLEM:Error
20:50:23.467,companion,OK,ABSENT
20:50:23.934,audio,PROBLEM:Error,ABSENT
20:50:26.024,companion,ABSENT,OK
20:50:26.440,audio,ABSENT,OK
20:50:35.451,companion,OK,ABSENT
20:50:35.861,audio,OK,ABSENT
20:50:37.746,companion,ABSENT,OK
20:50:38.145,audio,ABSENT,OK
20:50:47.470,audio,OK,ABSENT
20:50:52.993,companion,OK,ABSENT
20:50:58.707,companion,ABSENT,OK
20:50:59.061,audio,ABSENT,OK
20:51:05.068,audio,OK,ABSENT
20:51:07.208,audio,ABSENT,OK
20:51:10.720,companion,OK,ABSENT
20:51:11.103,audio,OK,ABSENT
20:51:12.839,companion,ABSENT,OK
20:51:13.201,audio,ABSENT,OK
20:51:17.094,audio,OK,ABSENT
20:51:19.045,audio,ABSENT,PROBLEM:Error
20:51:20.597,companion,OK,ABSENT
20:51:20.944,audio,PROBLEM:Error,ABSENT
20:51:22.647,companion,ABSENT,OK
20:51:23.053,audio,ABSENT,OK
20:51:26.566,companion,OK,ABSENT
20:51:26.913,audio,OK,ABSENT
20:51:28.609,companion,ABSENT,OK
20:51:29.008,audio,ABSENT,OK
20:51:32.548,companion,OK,ABSENT
20:51:32.883,audio,OK,ABSENT
20:51:38.423,companion,ABSENT,OK
20:51:38.765,audio,ABSENT,OK
20:51:42.824,audio,OK,ABSENT
20:51:45.155,audio,ABSENT,OK
20:51:49.126,companion,OK,ABSENT
20:51:49.505,audio,OK,ABSENT
20:51:51.397,companion,ABSENT,OK
20:51:51.800,audio,ABSENT,OK
20:52:29.594,audio,OK,ABSENT
20:52:31.216,companion,OK,ABSENT
20:52:37.574,companion,ABSENT,OK
20:52:37.982,audio,ABSENT,OK
20:52:54.604,companion,OK,ABSENT
20:52:55.038,audio,OK,ABSENT
20:52:57.064,companion,ABSENT,OK
20:52:57.495,audio,ABSENT,OK
20:53:02.077,audio,OK,ABSENT
20:53:06.886,audio,ABSENT,OK
